region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,Refused221g,InTransit,Transfer,NVC,2nlDate
AF,9030,2023AF9030,MRV,Issued,15-Oct-2021,26-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9032,2023AF9032,YDE,Issued,08-Nov-2021,11-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9035,2023AF9035,MRV,Refused,29-Oct-2021,12-Apr-2023,0,0,0,3,0,0,0,0,01-Jan-2023
AF,9036,2023AF9036,KIN,Issued,12-Oct-2021,03-Mar-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9037,2023AF9037,MRV,Refused,22-Oct-2021,12-Apr-2023,0,0,0,2,0,0,0,0,01-Jan-2023
AF,9038,2023AF9038,ABJ,Issued,01-Nov-2021,24-Mar-2023,3,0,0,0,0,0,0,0,01-Jan-2023
AF,9040,2023AF9040,ADD,Issued,22-Oct-2021,17-Mar-2023,1,0,0,0,0,0,0,0,17-Jan-2023
AF,9041,2023AF9041,GUZ,Refused221g,07-Oct-2021,21-Apr-2023,0,0,0,0,2,0,0,0,15-Feb-2023
AF,9043,2023AF9043,KIN,Ready,14-Oct-2021,04-May-2023,0,0,1,0,0,0,0,0,05-Apr-2023
AF,9045,2023AF9045,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9049,2023AF9049,CSB,Issued,13-Oct-2021,30-Mar-2023,1,0,1,0,0,0,0,0,01-Jan-2023
AF,9050,2023AF9050,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9051,2023AF9051,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9052,2023AF9052,KHT,Issued,13-Oct-2021,09-Mar-2023,1,0,0,0,0,0,0,0,19-Jan-2023
AF,9055,2023AF9055,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9057,2023AF9057,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9058,2023AF9058,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9059,2023AF9059,ABD,Issued,29-Oct-2021,25-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9061,2023AF9061,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9062,2023AF9062,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9067,2023AF9067,NRB,Refused221g,09-Nov-2021,04-May-2023,0,0,0,0,1,0,0,0,01-Mar-2023
AF,9069,2023AF9069,CRO,Refused,08-Oct-2021,11-Apr-2023,0,0,0,4,0,0,0,0,15-Feb-2023
AF,9073,2023AF9073,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9075,2023AF9075,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9076,2023AF9076,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9078,2023AF9078,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9079,2023AF9079,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9080,2023AF9080,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9081,2023AF9081,ALG,Issued,09-Oct-2021,18-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9083,2023AF9083,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9085,2023AF9085,KHT,Refused,20-Oct-2021,05-Mar-2023,0,0,0,1,0,0,0,0,19-Jan-2023
AF,9087,2023AF9087,CRO,Issued,08-Oct-2021,16-Apr-2023,1,0,0,0,0,0,0,0,15-Feb-2023
AF,9091,2023AF9091,CRO,Issued,26-Oct-2021,13-Apr-2023,5,0,0,0,0,0,0,0,15-Feb-2023
AF,9092,2023AF9092,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9093,2023AF9093,LUA,Refused221g,25-Oct-2021,25-Apr-2023,0,0,0,0,4,0,0,0,19-Jan-2023
AF,9094,2023AF9094,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9095,2023AF9095,CSB,Issued,20-Oct-2021,12-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9096,2023AF9096,ACC,Issued,20-Oct-2021,09-Mar-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9097,2023AF9097,CSB,Ready,23-Oct-2021,19-Apr-2023,0,0,1,0,0,0,0,0,17-Apr-2023
AF,9098,2023AF9098,CSB,Issued,24-Oct-2021,12-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9101,2023AF9101,CRO,Issued,27-Oct-2021,18-Apr-2023,4,0,0,0,0,0,0,0,15-Feb-2023
AF,9102,2023AF9102,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9105,2023AF9105,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9109,2023AF9109,RID,Refused,05-Nov-2021,05-Feb-2023,0,0,0,1,0,0,0,0,01-Jan-2023
AF,9111,2023AF9111,ALG,Issued,25-Oct-2021,13-Feb-2023,5,0,0,0,0,0,0,0,01-Jan-2023
AF,9112,2023AF9112,CSB,Issued,12-Oct-2021,12-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9114,2023AF9114,NRB,Refused221g,06-Nov-2021,27-Apr-2023,0,0,0,0,1,0,0,0,01-Mar-2023
AF,9117,2023AF9117,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9118,2023AF9118,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9119,2023AF9119,NRB,Refused,09-Nov-2021,28-Apr-2023,0,0,0,4,0,0,0,0,01-Mar-2023
AF,9120,2023AF9120,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9121,2023AF9121,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9122,2023AF9122,CRO,Issued,24-Oct-2021,16-Apr-2023,4,0,0,0,0,0,0,0,15-Feb-2023
AF,9123,2023AF9123,CRO,Issued,09-Oct-2021,03-Apr-2023,5,0,0,0,0,0,0,0,15-Feb-2023
AF,9126,2023AF9126,CSB,Issued,19-Oct-2021,27-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9127,2023AF9127,KIN,Issued,26-Oct-2021,13-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9129,2023AF9129,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9130,2023AF9130,ABJ,Issued,13-Oct-2021,15-Mar-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9131,2023AF9131,LOM,Issued,08-Oct-2021,06-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9134,2023AF9134,RID,Issued,26-Oct-2021,01-Mar-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9135,2023AF9135,CSB,Issued,03-Nov-2021,09-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9136,2023AF9136,ACC,Issued,21-Oct-2021,28-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9138,2023AF9138,COT,Issued,28-Oct-2021,14-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9140,2023AF9140,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9142,2023AF9142,LOM,Issued,08-Nov-2021,23-Mar-2023,1,0,0,0,0,0,0,0,19-Jan-2023
AF,9145,2023AF9145,CRO,Issued,24-Oct-2021,03-Apr-2023,3,0,0,0,0,0,0,0,15-Feb-2023
AF,9146,2023AF9146,CRO,Refused221g,27-Oct-2021,01-May-2023,0,0,2,0,1,0,0,0,15-Feb-2023
AF,9148,2023AF9148,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9149,2023AF9149,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AF,9150,2023AF9150,COT,Issued,09-Oct-2021,25-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9156,2023AF9156,CSB,Issued,08-Oct-2021,27-Jan-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AF,9157,2023AF9157,KGL,Ready,06-Oct-2021,31-Jan-2023,0,0,5,0,0,0,0,0,01-Jan-2023
AF,9161,2023AF9161,DJI,Ready,16-Oct-2021,20-Nov-2022,0,0,2,0,0,0,0,0,01-Jan-2023
AF,9163,2023AF9163,DKR,Issued,08-Nov-2021,11-Jan-2023,5,0,0,0,0,0,0,0,01-Jan-2023
